x,L,errV
0.0,0.1185502347100683,0.15768500630304658
0.7853981633974483,0.13800856102902806,0.01943104121565508
1.5707963267948966,0.11855023471137946,0.15768500629373064
1.1780972450961724,0.13654573998530373,0.029824576928493135
0.39269908169872414,0.12023220004792398,0.14573442158746788
0.9817477042468103,0.14069929461657665,0.00031302554593412774
1.1780972450961724,0.13654573998530373,0.029824576928493135
0.8835729338221293,0.14020656447297128,0.0038139379550937657
1.0799224746714913,0.13942927769999788,0.009336662603248351
0.9326603190344698,0.1406745314865094,0.0004889708386408968
1.030835089459151,0.14028013418734625,0.003291215468279705
0.9572040116406401,0.1407426621771302,4.893330222859468e-06
0.9326603190344698,0.1406745314865094,0.0004889708386408968
0.9694758579437253,0.14073491497627688,5.993821017513797e-05
0.0,0.1185502347100683,0.15768500630304658
0.7853981633974483,0.13800856102902806,0.01943104121565508
1.5707963267948966,0.11855023471137946,0.15768500629373064
1.1780972450961724,0.13654573998530373,0.029824576928493135
0.39269908169872414,0.12023220004792398,0.14573442158746788
0.9817477042468103,0.14069929461657665,0.00031302554593412774
1.1780972450961724,0.13654573998530373,0.029824576928493135
0.8835729338221293,0.14020656447297128,0.0038139379550937657
1.0799224746714913,0.13942927769999788,0.009336662603248351
0.9326603190344698,0.1406745314865094,0.0004889708386408968
1.030835089459151,0.14028013418734625,0.003291215468279705
0.9572040116406401,0.1407426621771302,4.893330222859468e-06
0.9326603190344698,0.1406745314865094,0.0004889708386408968
0.9694758579437253,0.14073491497627688,5.993821017513797e-05
